"uid","domainID","siteID","namedLocation","decimalLatitude","decimalLongitude","coordinateUncertainty","additionalCoordUncertainty","geodeticDatum","elevation","elevationUncertainty","aquaticSiteType","startDate","collectDate","eventID","sampleID","sampleCode","samplingProtocolVersion","samplingImpractical","samplerType","towsTrapsNumber","towsTrapsVolume","zooDepth1","zooDepth2","zooDepth3","remarks","recordedBy","collectedBy"
"07d68fc4-7f3f-491b-b0e8-8aae66a71fe7","D03","BARC","BARC.AOS.outlet",29.674748,-82.008404,0.1,10,"WGS84",27.1,0,"lake","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.20140702","BARC.OUT.20140702.ZOO",NA,"NEON.DOC.001194vC",NA,"Schindler-Patalas",2,24,1,1,NA,NA,"4cqeLHiLe4h48DaGJDxAgwCH9TdKoypw","nKsA92vMzSKXuTR+bYdjSrT8PiEV/ncJ"
"68f251f5-0766-4b14-b699-15d6299882c7","D03","BARC","BARC.AOS.buoy.c0",29.676473,-82.009089,10,10,"WGS84",27,10,"lake","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.20140702","BARC.BOUY.20140702.ZOO",NA,"NEON.DOC.001194vC",NA,"tow net",2,686.2,4.7,4.7,NA,NA,"4cqeLHiLe4h48DaGJDxAgwCH9TdKoypw","nKsA92vMzSKXuTR+bYdjSrT8PiEV/ncJ"
"95e466ff-3b9d-4cdd-a750-e4c3b64c1062","D03","BARC","BARC.AOS.inlet",29.677477,-82.007714,0.1,10,"WGS84",26.9,0,"lake","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.20140702","BARC.IN.20140702.ZOO",NA,"NEON.DOC.001194vC",NA,"tow net",2,525.6,3.6,3.6,NA,NA,"4cqeLHiLe4h48DaGJDxAgwCH9TdKoypw","nKsA92vMzSKXuTR+bYdjSrT8PiEV/ncJ"
"da2b7708-c0dd-496f-a721-50cf75f58bfb","D03","BARC","BARC.AOS.buoy.c0",29.676473,-82.009089,10,10,"WGS84",27,10,"lake","2015-02-18T17:00Z","2015-02-18T17:00Z","BARC.20150218","BARC.20150218.TOW.1",NA,"NEON.DOC.001194vC",NA,"tow net",3,547.5,2.5,2.5,2.5,"2.5m length of tow","SZd6jJU+PWukgvziuyetpzviWNuM2FzT","nKsA92vMzSKXuTR+bYdjSrT8PiEV/ncJ"
"8647ff46-8221-444a-9c52-22397f7d61c1","D03","BARC","BARC.AOS.inlet",29.677477,-82.007714,0.1,10,"WGS84",26.9,0,"lake","2015-02-18T17:00Z","2015-02-18T17:00Z","BARC.20150218","BARC.20150218.TOW.2",NA,"NEON.DOC.001194vC",NA,"tow net",3,328.5,1.5,1.5,1.5,"1.5m tow length","SZd6jJU+PWukgvziuyetpzviWNuM2FzT","nKsA92vMzSKXuTR+bYdjSrT8PiEV/ncJ"
"6ca43cfc-e635-44a9-9b14-4337fb3611e3","D03","BARC","BARC.AOS.outlet",29.674748,-82.008404,0.1,10,"WGS84",27.1,0,"lake","2015-02-18T17:00Z","2015-02-18T17:00Z","BARC.20150218","BARC.20150218.SCHINDLER.3",NA,"NEON.DOC.001194vC",NA,"Schindler-Patalas",2,24,0.5,1.5,NA,"","SZd6jJU+PWukgvziuyetpzviWNuM2FzT","nKsA92vMzSKXuTR+bYdjSrT8PiEV/ncJ"
"194bbd64-4ded-4806-89f6-dd032f04facd","D03","BARC","BARC.AOS.inlet",29.677477,-82.007714,0.1,10,"WGS84",26.9,0,"lake","2015-07-01T16:00Z","2015-07-01T16:00Z","BARC.20150701","BARC.20150701.SCHINDLER.2",NA,"NEON.DOC.001194vD",NA,"Schindler-Patalas",3,36,0.5,1.3,2,"","4cqeLHiLe4h48DaGJDxAgwCH9TdKoypw","nKsA92vMzSKXuTR+bYdjSrT8PiEV/ncJ"
"98fe9b05-4368-441b-9047-af5505115580","D03","BARC","BARC.AOS.outlet",29.674748,-82.008404,0.1,10,"WGS84",27.1,0,"lake","2015-07-01T16:00Z","2015-07-01T16:00Z","BARC.20150701","BARC.20150701.SCHINDLER.3",NA,"NEON.DOC.001194vD",NA,"Schindler-Patalas",2,24,0.5,0.5,NA,"excessive algae - cannot sample deeper than 0.5m","4cqeLHiLe4h48DaGJDxAgwCH9TdKoypw","nKsA92vMzSKXuTR+bYdjSrT8PiEV/ncJ"
"bf1a1529-93c8-46f1-834d-5659c0fed4ad","D03","BARC","BARC.AOS.buoy.c0",29.676473,-82.009089,10,10,"WGS84",27,10,"lake","2015-07-01T16:00Z","2015-07-01T16:00Z","BARC.20150701","BARC.20150701.TOW NET.1",NA,"NEON.DOC.001194vD",NA,"tow net",3,766.5,3.5,3.5,3.5,"","4cqeLHiLe4h48DaGJDxAgwCH9TdKoypw","nKsA92vMzSKXuTR+bYdjSrT8PiEV/ncJ"
"26110fc2-e752-418a-9df2-13e9d5173fe5","D03","BARC","BARC.AOS.inlet",29.677477,-82.007714,0.1,10,"WGS84",26.9,0,"lake","2015-11-05T17:00Z","2015-11-05T17:00Z","BARC.20151105","BARC.20151105.TOW NET.2",NA,"NEON.DOC.001194vD",NA,"tow net",3,657,3,3,3,NA,"w/KL6MXJXvQQsLRcmywlukzOyoInucvI","4cqeLHiLe4h48DaGJDxAgwCH9TdKoypw"
