"uid","domainID","siteID","namedLocation","startDate","collectDate","sampleID","sampleCode","scientificName","morphospeciesID","referenceCount","referenceID","referenceCode","laboratoryName"
"1210de93-2e45-48b4-82b4-8aac126b41eb","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.BOUY.20140702.ZOO",NA,"Dipleuchlanis propatula","",1,NA,NA,"EcoAnalysts Inc."
"268a1250-42e9-4650-ba93-43893f7a40ff","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.BOUY.20140702.ZOO",NA,"Hesperodiaptomus augustaensis","",1,NA,NA,"EcoAnalysts Inc."
"a9bd78f9-60fc-4660-99da-8e1437507e46","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.BOUY.20140702.ZOO",NA,"Trichocerca similis","",1,NA,NA,"EcoAnalysts Inc."
"59bc3d8f-54ab-41e6-b8ef-18d18078cf31","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.BOUY.20140702.ZOO",NA,"Lecane mira","",1,NA,NA,"EcoAnalysts Inc."
"a139d8fb-aa7e-457b-9727-236d350d037a","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.BOUY.20140702.ZOO",NA,"Calanoida sp.","copepodites",1,NA,NA,"EcoAnalysts Inc."
"cc57d079-8fed-4b8a-8f9c-7909afcba440","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.BOUY.20140702.ZOO",NA,"Lecane inermis","",1,NA,NA,"EcoAnalysts Inc."
"9d2362fa-05bb-4975-a3b5-a18fb5a0ab4d","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.BOUY.20140702.ZOO",NA,"Cyclopoida sp.","copepodites",1,NA,NA,"EcoAnalysts Inc."
"4b0f378c-05ad-4ec9-967a-1a0d12765ea8","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.BOUY.20140702.ZOO",NA,"Copepoda sp.","nauplii",1,NA,NA,"EcoAnalysts Inc."
"76e88562-f931-49e5-a8da-89eb72f162f7","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.BOUY.20140702.ZOO",NA,"Skistodiaptomus mississippiensis","",1,NA,NA,"EcoAnalysts Inc."
"df1658fe-dbcd-42f3-9582-58926c5d8a64","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2014-07-02T16:00Z","BARC.BOUY.20140702.ZOO",NA,"Rotifera sp.","",1,NA,NA,"EcoAnalysts Inc."
