"uid","domainID","siteID","namedLocation","collectDate","identifiedDate","sampleID","taxonID","targetTaxaPresent","scientificName","morphospeciesID","taxonRank","phylum","subphylum","class","subclass","infraclass","superorder","order","suborder","superfamily","family","subfamily","genus","specificEpithet","infraspecificEpithet","nauplii","zooMinimumLength","zooMaximumLength","zooMeanLength","zooWidth","individualCount","subsampleType","zooVolumePerBottle","zooSubsampleVolume","adjCountPerBottle","indeterminateSpecies","sampleCondition","notSubsampled","distinctTaxon","identificationQualifier","identificationReferences","qcChecked","qcEnumerationDifference","qcTaxonomicDifference","laboratoryName","internalLabName","testProtocolVersion","identifiedBy","identificationRemarks"
"24c22f17-071d-43fd-ac0f-f63fef8947c2","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2015-03-09","BARC.BOUY.20140702.ZOO","LEPSP32","Y","Lepadella sp.","","genus","Rotifera","","Monogonta",NA,"Monogononta","","Pseudotrocha","Ploima","",NA,"Lepadellidae",NA,NA,"","N",0.1,0.1,0.1,NA,1,"coarse",1000,32,31,"N","condition OK","N","Y",NA,"Stemberger, 1979","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"bfda6aa9-e110-4ddc-a5c4-2391dabdf544","D03","BARC","BARC.AOS.outlet","2014-07-02T16:00Z","2015-03-09","BARC.OUT.20140702.ZOO","TROPRA1","Y","Tropocyclops prasinus mexicanus","","subspecies","Arthropoda","Crustacea","Maxillopoda",NA,"Copepoda","Neocopepoda","Podoplea","Cyclopoida","",NA,"Cyclopidae",NA,NA,"mexicanus","N",0.4,0.4,0.4,NA,10,"coarse",1000,114,88,"N","condition OK","N","Y",NA,"Dodson et al., 2010","Y",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"6f6f4f57-ffb7-4d76-b3e4-951dae28a351","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2015-03-09","BARC.BOUY.20140702.ZOO","CYCSP","Y","Cyclopoida sp.","copepodites","order","Arthropoda","Crustacea","Maxillopoda",NA,"Copepoda","Neocopepoda","Podoplea","Cyclopoida","",NA,"",NA,NA,"","N",0.4,0.4,0.4,NA,7,"coarse",1000,32,219,"N","condition OK","N","Y",NA,"Dodson et al., 2010","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"5b23f7c8-2c87-405a-b2cf-9dd81cb3eb3b","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2015-03-09","BARC.BOUY.20140702.ZOO","TRISIM","Y","Trichocerca similis","","species","Rotifera","","Monogonta",NA,"Monogononta","","Pseudotrocha","Ploima","",NA,"Trichocercidae",NA,NA,"","N",0.1,0.1,0.1,NA,6,"coarse",1000,32,188,"N","condition OK","N","Y",NA,"Stemberger, 1979","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"65eea6b2-ba7e-4dcd-b6dc-fe8db7f63c8f","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2015-03-09","BARC.BOUY.20140702.ZOO","MONBUL","Y","Monostyla bulla","","species","Rotifera","","Monogonta",NA,"Monogononta","","Pseudotrocha","Ploima","",NA,"Lecanidae",NA,NA,"","N",0.1,0.1,0.1,NA,2,"coarse",1000,32,63,"N","condition OK","N","Y",NA,"Stemberger, 1979","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"ce84336b-702e-4031-a815-b65272f9fe85","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2015-03-09","BARC.BOUY.20140702.ZOO","LECMIR","Y","Lecane mira","","species","Rotifera","","Monogonta",NA,"Monogononta","","Pseudotrocha","Ploima","",NA,"Lecanidae",NA,NA,"","N",0.1,0.1,0.1,NA,1,"coarse",1000,32,31,"N","condition OK","N","Y",NA,"Stemberger, 1979","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"861f1db4-aa66-4d05-b5b9-b4b8b71321a2","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2015-03-09","BARC.BOUY.20140702.ZOO","DIPPRO","Y","Dipleuchlanis propatula","","species","Rotifera","","Monogonta",NA,"Monogononta","","Pseudotrocha","Ploima","",NA,"Euchlanidae",NA,NA,"","N",0.2,0.2,0.2,NA,1,"coarse",1000,32,31,"N","condition OK","N","Y",NA,"Stemberger, 1979","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"5abfdbce-d60a-4019-917e-ec99226c76c3","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2015-03-09","BARC.BOUY.20140702.ZOO","ROTSP","Y","Rotifera sp.","","phylum","Rotifera","","",NA,"","","","","",NA,"",NA,NA,"","N",0.2,0.2,0.2,NA,3,"coarse",1000,32,94,"N","condition OK","N","Y",NA,"Stemberger, 1979","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"d1958c22-0217-427e-b1f4-271f350709a1","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2015-03-09","BARC.BOUY.20140702.ZOO","SKIMIS","Y","Skistodiaptomus mississippiensis","","species","Arthropoda","Crustacea","Maxillopoda",NA,"Copepoda","Neocopepoda","Gymnoplea","Calanoida","",NA,"Diaptomidae",NA,NA,"","N",0.8,1,0.9,NA,36,"coarse",1000,32,1126,"N","condition OK","N","Y",NA,"Dodson et al., 2010","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"901acfc4-0dc1-491b-9da8-a2d59126e886","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2015-03-09","BARC.BOUY.20140702.ZOO","LECINE","Y","Lecane inermis","","species","Rotifera","","Monogonta",NA,"Monogononta","","Pseudotrocha","Ploima","",NA,"Lecanidae",NA,NA,"","N",0.1,0.1,0.1,NA,4,"coarse",1000,32,125,"N","condition OK","N","Y",NA,"Stemberger, 1979","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
