"uid","domainID","siteID","namedLocation","collectDate","identifiedDate","sampleID","taxonID","targetTaxaPresent","scientificName","morphospeciesID","taxonRank","phylum","subphylum","class","subclass","infraclass","superorder","order","suborder","superfamily","family","subfamily","genus","specificEpithet","infraspecificEpithet","nauplii","zooMinimumLength","zooMaximumLength","zooMeanLength","zooWidth","individualCount","subsampleType","zooVolumePerBottle","zooSubsampleVolume","adjCountPerBottle","indeterminateSpecies","sampleCondition","notSubsampled","distinctTaxon","taxonDatabaseID","taxonDatabaseName","identificationQualifier","identificationReferences","qcChecked","qcEnumerationDifference","qcTaxonomicDifference","laboratoryName","internalLabName","testProtocolVersion","identifiedBy","identificationRemarks"
"a54fe153-4fe3-464c-8a46-92f471d02e0b","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2015-03-09","BARC.BOUY.20140702.ZOO","CALSP1","Y","Calanoida sp.","copepodites",NA,"Arthropoda",NA,"Maxillopoda",NA,NA,NA,NA,"Calanoida",NA,NA,"",NA,NA,NA,"N",0.375,0.85,0.565,NA,224,"coarse",1000,32,7009,"N","condition OK","N","Y","","",NA,"Dodson et al., 2010","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"6dec01c4-d3b9-4a4f-9a76-4e2e9c431b59","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2015-03-09","BARC.BOUY.20140702.ZOO","COPSP","Y","Copepoda sp.","nauplii",NA,"Arthropoda",NA,"Maxillopoda",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"Y",0.088,0.238,0.162,NA,213,"coarse",1000,32,6665,"N","condition OK","N","Y","","",NA,"Dodson et al., 2010","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"adeb6cea-3c42-4a4f-9530-f5af29abcc29","D03","BARC","BARC.AOS.inlet","2014-07-02T16:00Z","2015-03-09","BARC.IN.20140702.ZOO","GASSTY","Y","Gastropus stylifer","",NA,"Rotifera",NA,"Eurotatoria",NA,NA,NA,NA,"Ploima",NA,NA,"Gastropodidae",NA,NA,NA,"N",0.062,0.062,0.062,NA,1,"coarse",1000,13,74,"N","condition OK","N","Y","","",NA,"Stemberger, 1979","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"2d4b4708-e08e-41ff-acd3-39a62d6d18be","D03","BARC","BARC.AOS.inlet","2014-07-02T16:00Z","2015-03-09","BARC.IN.20140702.ZOO","ROTSP","Y","Rotifera sp.","",NA,"Rotifera",NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"N",0.162,0.188,0.175,NA,4,"coarse",1000,13,297,"N","condition OK","N","Y","58239","ITIS",NA,"Stemberger, 1979","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"012a2713-9609-49c9-9ca4-137da5d5e2d1","D03","BARC","BARC.AOS.inlet","2014-07-02T16:00Z","2015-03-09","BARC.IN.20140702.ZOO","COPSP","Y","Copepoda sp.","nauplii",NA,"Arthropoda",NA,"Maxillopoda",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"Y",0.075,0.25,0.165,NA,108,"coarse",1000,13,8030,"N","condition OK","N","Y","","",NA,"Dodson et al., 2010","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"befaab5a-c9f6-45a9-abe2-981b25074f87","D03","BARC","BARC.AOS.inlet","2014-07-02T16:00Z","2015-03-09","BARC.IN.20140702.ZOO","SKIMIS","Y","Skistodiaptomus mississippiensis","",NA,"Arthropoda",NA,"Maxillopoda",NA,NA,NA,NA,"Calanoida",NA,NA,"Diaptomidae",NA,NA,NA,"N",0.85,1,0.902,NA,10,"coarse",1000,13,743,"N","condition OK","N","Y","666977","ITIS",NA,"Dodson et al., 2010","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"71c6dcee-49d5-461f-b067-707d06d92788","D03","BARC","BARC.AOS.inlet","2014-07-02T16:00Z","2015-03-09","BARC.IN.20140702.ZOO","MONBUL","Y","Monostyla bulla","",NA,"Rotifera",NA,"Eurotatoria",NA,NA,NA,NA,"Ploima",NA,NA,"Lecanidae",NA,NA,NA,"N",0.112,0.112,0.112,NA,1,"coarse",1000,13,74,"N","condition OK","N","Y","","",NA,"Stemberger, 1979","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"25b38a79-d269-401f-9fbd-0c4928eded35","D03","BARC","BARC.AOS.inlet","2014-07-02T16:00Z","2015-03-09","BARC.IN.20140702.ZOO","LECMIR","Y","Lecane mira","",NA,"Rotifera",NA,"Eurotatoria",NA,NA,NA,NA,"Ploima",NA,NA,"Lecanidae",NA,NA,NA,"N",0.112,0.112,0.112,NA,4,"coarse",1000,13,297,"N","condition OK","N","Y","58639","ITIS",NA,"Stemberger, 1979","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"5c684aee-f569-4462-98f2-4857d5005086","D03","BARC","BARC.AOS.inlet","2014-07-02T16:00Z","2015-03-09","BARC.IN.20140702.ZOO","CYCSP","Y","Cyclopoida sp.","copepodites",NA,"Arthropoda",NA,"Maxillopoda",NA,NA,NA,NA,"Cyclopoida",NA,NA,"",NA,NA,NA,"N",0.375,0.425,0.4,NA,2,"coarse",1000,13,149,"N","condition OK","N","Y","","",NA,"Dodson et al., 2010","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"5f8a8354-b919-4c6a-b3e9-3cc13cbd2ba7","D03","BARC","BARC.AOS.inlet","2014-07-02T16:00Z","2015-03-09","BARC.IN.20140702.ZOO","CALSP1","Y","Calanoida sp.","copepodites",NA,"Arthropoda",NA,"Maxillopoda",NA,NA,NA,NA,"Calanoida",NA,NA,"",NA,NA,NA,"N",0.55,0.875,0.725,NA,215,"coarse",1000,13,15985,"N","condition OK","N","Y","","",NA,"Dodson et al., 2010","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"8a9bee91-3a15-4e4a-8199-7000152d226f","D03","BARC","BARC.AOS.inlet","2014-07-02T16:00Z","2015-03-09","BARC.IN.20140702.ZOO","ACRHAR","Y","Acroperus harpae","",NA,"Arthropoda",NA,"Branchiopoda",NA,NA,NA,NA,"Diplostraca",NA,NA,"Chydoridae",NA,NA,NA,"N",0.375,0.375,0.375,NA,1,"coarse",1000,13,74,"N","condition OK","N","Y","","",NA,"Dodson et al., 2010","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"6443d8ff-21cf-4d91-a9b6-5651f9236a26","D03","BARC","BARC.AOS.inlet","2014-07-02T16:00Z","2015-03-09","BARC.IN.20140702.ZOO","HESAUG","Y","Hesperodiaptomus augustaensis","",NA,"Arthropoda",NA,"Maxillopoda",NA,NA,NA,NA,"Calanoida",NA,NA,"Diaptomidae",NA,NA,NA,"N",0.9,1.075,1.005,NA,29,"coarse",1000,13,2156,"N","condition OK","N","Y","666939","ITIS",NA,"Dodson et al., 2010","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"2859b408-37c0-4fc6-9ea5-59e4ba34774a","D03","BARC","BARC.AOS.inlet","2014-07-02T16:00Z","2015-03-09","BARC.IN.20140702.ZOO","TRISIM","Y","Trichocerca similis","",NA,"Rotifera",NA,"Eurotatoria",NA,NA,NA,NA,"Ploima",NA,NA,"Trichocercidae",NA,NA,NA,"N",0.125,0.125,0.125,NA,3,"coarse",1000,13,223,"N","condition OK","N","Y","59079","ITIS",NA,"Stemberger, 1979","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"4fa4a469-1b0b-41b2-8f60-55f16b1146bc","D03","BARC","BARC.AOS.outlet","2014-07-02T16:00Z","2015-03-09","BARC.OUT.20140702.ZOO","MACSP4","Y","Macrothricidae sp.","",NA,"Arthropoda",NA,"Branchiopoda",NA,NA,NA,NA,"Diplostraca",NA,NA,"Macrothricidae",NA,NA,NA,"N",0.35,0.375,0.362,NA,4,"coarse",1000,114,35,"N","condition OK","N","Y","","",NA,"Dodson et al., 2010","Y",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"3060dca2-37dd-4e4d-99ed-fe3a555a0fbb","D03","BARC","BARC.AOS.buoy.c0","2014-07-02T16:00Z","2015-03-09","BARC.BOUY.20140702.ZOO","HESAUG","Y","Hesperodiaptomus augustaensis","",NA,"Arthropoda",NA,"Maxillopoda",NA,NA,NA,NA,"Calanoida",NA,NA,"Diaptomidae",NA,NA,NA,"N",0.9,1.075,1.021,NA,28,"coarse",1000,32,876,"N","condition OK","N","Y","666939","ITIS",NA,"Dodson et al., 2010","N",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
"6adf6898-1762-4ee9-a90d-33832f301180","D03","BARC","BARC.AOS.outlet","2014-07-02T16:00Z","2015-03-09","BARC.OUT.20140702.ZOO","TROPRA1","Y","Tropocyclops prasinus mexicanus","",NA,"Arthropoda",NA,"Maxillopoda",NA,NA,NA,NA,"Cyclopoida",NA,NA,"Cyclopidae",NA,NA,NA,"N",0.35,0.412,0.396,NA,10,"coarse",1000,114,88,"N","condition OK","N","Y","","",NA,"Dodson et al., 2010","Y",NA,NA,"EcoAnalysts Inc.","EcoAnalysts","ECOANALYSTS_Zooplankton_Identification_Revision2","mhill",NA
